senator,url,trumpcare_mentions,russia_mentions,trumpcare_to_russia_ratio
David N. Cicilline,http://cicilline.house.gov,6,0,0.0
Matt Cartwright,http://cartwright.house.gov,6,0,0.0
Joaquin Castro,https://castro.house.gov,4,1,4.0
Tony Cárdenas,https://cardenas.house.gov,7,1,7.0
Katherine M. Clark,https://katherineclark.house.gov,14,4,3.5
J. Luis Correa,https://correa.house.gov,6,3,2.0
Charlie Crist,https://crist.house.gov,8,0,0.0
Salud O. Carbajal,https://carbajal.house.gov,11,0,0.0
Danny K. Davis,https://davis.house.gov,1,1,1.0
Peter A. DeFazio,http://defazio.house.gov,6,0,0.0
Diana DeGette,http://degette.house.gov,12,2,6.0
Rosa L. DeLauro,https://delauro.house.gov,7,0,0.0
Lloyd Doggett,https://doggett.house.gov,13,4,3.25
Michael F. Doyle,http://doyle.house.gov,10,0,0.0
Susan A. Davis,https://susandavis.house.gov,13,2,6.5
Theodore E. Deutch,http://teddeutch.house.gov,8,3,2.6667
Suzan K. DelBene,https://delbene.house.gov,12,0,0.0
John K. Delaney,http://delaney.house.gov,9,0,0.0
Mark DeSaulnier,https://desaulnier.house.gov,10,4,2.5
Debbie Dingell,https://debbiedingell.house.gov,5,2,2.5
Val Butler Demings,https://demings.house.gov,5,0,0.0
Eliot L. Engel,https://engel.house.gov,1,0,0.0
Anna G. Eshoo,http://eshoo.house.gov,12,0,0.0
Keith Ellison,https://ellison.house.gov,1,5,0.2
Elizabeth H. Esty,https://esty.house.gov,13,2,6.5
Dwight Evans,https://evans.house.gov,4,0,0.0
Adriano Espaillat,https://espaillat.house.gov,7,0,0.0
Bill Foster,http://foster.house.gov,8,0,0.0
Marcia L. Fudge,https://fudge.house.gov,24,0,0.0
Lois Frankel,http://frankel.house.gov,8,0,0.0
Gene Green,https://green.house.gov,12,0,0.0
Luis V. Gutiérrez,https://gutierrez.house.gov,6,2,3.0
Raúl M. Grijalva,https://grijalva.house.gov,1,1,1.0
Al Green,http://algreen.house.gov,5,2,2.5
John Garamendi,http://garamendi.house.gov,6,3,2.0
Tulsi Gabbard,https://gabbard.house.gov,9,0,0.0
Ruben Gallego,https://rubengallego.house.gov,3,0,0.0
Vicente Gonzalez,https://gonzalez.house.gov,7,0,0.0
Josh Gottheimer,https://gottheimer.house.gov,3,0,0.0
Alcee L. Hastings,http://alceehastings.house.gov,9,0,0.0
Steny H. Hoyer,https://hoyer.house.gov,1,0,0.0
Brian Higgins,http://higgins.house.gov,7,0,0.0
James A. Himes,https://himes.house.gov,9,8,1.125
Colleen Hanabusa,https://hanabusa.house.gov,15,0,0.0
Denny Heck,http://dennyheck.house.gov,8,0,0.0
Jared Huffman,http://huffman.house.gov,2,0,0.0
Sheila Jackson Lee,http://jacksonlee.house.gov,3,0,0.0
Eddie Bernice Johnson,http://ebjohnson.house.gov,8,4,2.0
"Henry C. ""Hank"" Johnson, Jr.",https://hankjohnson.house.gov,4,0,0.0
Hakeem S. Jeffries,http://jeffries.house.gov,10,3,3.3333
Pramila Jayapal,https://jayapal.house.gov,3,3,1.0
Marcy Kaptur,https://kaptur.house.gov,8,1,8.0
Ron Kind,https://kind.house.gov,3,1,3.0
William R. Keating,https://keating.house.gov,9,0,0.0
Joseph P. Kennedy III,https://kennedy.house.gov,8,4,2.0
Daniel T. Kildee,http://dankildee.house.gov,4,0,0.0
Derek Kilmer,https://kilmer.house.gov,9,0,0.0
Ann M. Kuster,http://kuster.house.gov,6,0,0.0
Robin L. Kelly,https://robinkelly.house.gov,4,0,0.0
Ro Khanna,https://khanna.house.gov,5,0,0.0
Ruben J. Kihuen,https://kihuen.house.gov,9,0,0.0
Raja Krishnamoorthi,https://krishnamoorthi.house.gov,8,9,0.8889
Sander M. Levin,http://levin.house.gov,17,0,0.0
John Lewis,https://johnlewis.house.gov,6,0,0.0
Zoe Lofgren,https://lofgren.house.gov,6,1,6.0
Nita M. Lowey,https://lowey.house.gov,5,1,5.0
Barbara Lee,https://lee.house.gov,5,0,0.0
John B. Larson,https://larson.house.gov,7,0,0.0
James R. Langevin,http://langevin.house.gov,9,0,0.0
Rick Larsen,http://larsen.house.gov,13,0,0.0
Stephen F. Lynch,http://lynch.house.gov,4,2,2.0
Daniel Lipinski,https://lipinski.house.gov,1,0,0.0
David Loebsack,http://loebsack.house.gov,10,0,0.0
Ben Ray Luján,https://lujan.house.gov,1,1,1.0
Alan S. Lowenthal,http://lowenthal.house.gov,5,0,0.0
Michelle Lujan Grisham,https://lujangrisham.house.gov,13,0,0.0
Brenda L. Lawrence,https://lawrence.house.gov,9,7,1.2857
Ted Lieu,https://lieu.house.gov,4,0,0.0
"Al Lawson, Jr.",https://lawson.house.gov,6,0,0.0
Carolyn B. Maloney,http://maloney.house.gov,9,0,0.0
James P. McGovern,http://mcgovern.house.gov,1,0,0.0
Gregory W. Meeks,http://meeks.house.gov,7,1,7.0
Betty McCollum,http://mccollum.house.gov,9,1,9.0
Gwen Moore,https://gwenmoore.house.gov,3,0,0.0
Doris O. Matsui,https://matsui.house.gov,9,2,4.5
Jerry McNerney,http://mcnerney.house.gov,4,0,0.0
Sean Patrick Maloney,http://seanmaloney.house.gov,6,0,0.0
Grace Meng,http://meng.house.gov,3,0,0.0
Seth Moulton,http://moulton.house.gov,11,0,0.0
A. Donald McEachin,https://mceachin.house.gov,7,4,1.75
Stephanie N. Murphy,https://stephaniemurphy.house.gov,4,0,0.0
Jerrold Nadler,http://nadler.house.gov,1,2,0.5
Richard E. Neal,https://neal.house.gov,8,3,2.6667
Richard M. Nolan,http://nolan.house.gov,11,0,0.0
Eleanor Holmes Norton,https://norton.house.gov,5,0,0.0
Grace F. Napolitano,http://napolitano.house.gov,12,0,0.0
Donald Norcross,https://norcross.house.gov,19,1,19.0
Beto O'Rourke,http://orourke.house.gov,1,0,0.0
Tom O'Halleran,https://ohalleran.house.gov,12,0,0.0
"Frank Pallone, Jr.",https://pallone.house.gov,10,0,0.0
"Bill Pascrell, Jr.",http://pascrell.house.gov,6,6,1.0
Nancy Pelosi,http://pelosi.house.gov,7,0,0.0
Collin C. Peterson,http://collinpeterson.house.gov,8,0,0.0
David E. Price,https://price.house.gov,3,0,0.0
Ed Perlmutter,https://perlmutter.house.gov,4,0,0.0
Chellie Pingree,https://pingree.house.gov,12,0,0.0
Jared Polis,http://polis.house.gov,5,0,0.0
"Donald M. Payne, Jr.",http://payne.house.gov,7,4,1.75
Mark Pocan,http://pocan.house.gov,8,4,2.0
Scott H. Peters,http://scottpeters.house.gov,6,0,0.0
Stacey E. Plaskett,https://plaskett.house.gov,3,0,0.0
Jimmy Panetta,https://panetta.house.gov,3,0,0.0
Mike Quigley,https://quigley.house.gov,6,9,0.6667
Lucille Roybal-Allard,http://roybal-allard.house.gov,11,0,0.0
Bobby L. Rush,http://rush.house.gov,11,0,0.0
C. A. Dutch Ruppersberger,http://ruppersberger.house.gov,2,0,0.0
Tim Ryan,http://timryan.house.gov,6,0,0.0
Cedric L. Richmond,https://richmond.house.gov,7,1,7.0
Raul Ruiz,https://ruiz.house.gov,5,0,0.0
Kathleen M. Rice,http://kathleenrice.house.gov,6,2,3.0
Jamie Raskin,https://raskin.house.gov,7,0,0.0
Jacky Rosen,https://rosen.house.gov,2,0,0.0
"Robert C. ""Bobby"" Scott",http://bobbyscott.house.gov,16,1,16.0
José E. Serrano,https://serrano.house.gov,4,2,2.0
Brad Sherman,http://sherman.house.gov,20,12,1.6667
Louise McIntosh Slaughter,https://louise.house.gov,5,0,0.0
Adam Smith,https://adamsmith.house.gov,8,3,2.6667
Janice D. Schakowsky,https://schakowsky.house.gov,12,2,6.0
Adam B. Schiff,http://schiff.house.gov,7,0,0.0
Linda T. Sánchez,https://lindasanchez.house.gov,7,1,7.0
David Scott,http://davidscott.house.gov,4,0,0.0
Albio Sires,https://sires.house.gov,5,0,0.0
John P. Sarbanes,https://sarbanes.house.gov,8,0,0.0
Carol Shea-Porter,https://shea-porter.house.gov,7,3,2.3333
Jackie Speier,https://speier.house.gov,3,2,1.5
Gregorio Kilili Camacho Sablan,http://sablan.house.gov,5,0,0.0
Kurt Schrader,http://schrader.house.gov,4,0,0.0
Terri A. Sewell,https://sewell.house.gov,17,2,8.5
Bradley Scott Schneider,https://schneider.house.gov,6,2,3.0
Kyrsten Sinema,https://sinema.house.gov,1,0,0.0
Eric Swalwell,https://swalwell.house.gov,6,8,0.75
Darren Soto,https://soto.house.gov,7,0,0.0
Thomas R. Suozzi,https://suozzi.house.gov,11,10,1.1
Bennie G. Thompson,https://benniethompson.house.gov,8,0,0.0
Mike Thompson,http://mikethompson.house.gov,13,2,6.5
Niki Tsongas,https://tsongas.house.gov,1,0,0.0
Dina Titus,https://titus.house.gov,2,0,0.0
Paul Tonko,https://tonko.house.gov,5,0,0.0
Mark Takano,https://takano.house.gov,6,0,0.0
Norma J. Torres,https://torres.house.gov,5,1,5.0
Nydia M. Velázquez,https://velazquez.house.gov,6,0,0.0
Peter J. Visclosky,https://visclosky.house.gov,3,0,0.0
Juan Vargas,http://vargas.house.gov,6,0,0.0
Marc A. Veasey,http://veasey.house.gov,6,0,0.0
Filemon Vela,https://vela.house.gov,2,3,0.6667
Maxine Waters,https://waters.house.gov,3,0,0.0
Debbie Wasserman Schultz,https://wassermanschultz.house.gov,8,0,0.0
Timothy J. Walz,https://walz.house.gov,12,0,0.0
Peter Welch,https://welch.house.gov,6,0,0.0
Frederica S. Wilson,https://wilson.house.gov,1,0,0.0
Bonnie Watson Coleman,https://watsoncoleman.house.gov,14,1,14.0
John A. Yarmuth,https://yarmuth.house.gov,28,1,28.0
