senator,url,trumpcare_mentions,russia_mentions,trumpcare_to_russia_ratio
Blake Farenthold,http://farenthold.house.gov,4,0,0.0
Bill Flores,http://flores.house.gov,7,0,0.0
John J. Faso,https://faso.house.gov,6,0,0.0
A. Drew Ferguson IV,https://ferguson.house.gov,7,0,0.0
Brian K. Fitzpatrick,https://brianfitzpatrick.house.gov,7,0,0.0
Bob Goodlatte,https://goodlatte.house.gov,3,0,0.0
Kay Granger,http://kaygranger.house.gov,6,0,0.0
Sam Graves,https://graves.house.gov,4,0,0.0
Louie Gohmert,https://gohmert.house.gov,4,5,0.8
Brett Guthrie,https://guthrie.house.gov,4,1,4.0
Tom Graves,http://tomgraves.house.gov,16,0,0.0
Bob Gibbs,https://gibbs.house.gov,7,0,0.0
Paul A. Gosar,http://gosar.house.gov,12,0,0.0
Trey Gowdy,https://gowdy.house.gov,2,0,0.0
H. Morgan Griffith,http://morgangriffith.house.gov,4,0,0.0
Glenn Grothman,http://grothman.house.gov,8,0,0.0
Garret Graves,https://garretgraves.house.gov,9,0,0.0
Matt Gaetz,https://gaetz.house.gov,5,0,0.0
Mike Gallagher,https://gallagher.house.gov,9,0,0.0
"Thomas A. Garrett, Jr.",https://tomgarrett.house.gov,4,0,0.0
Jenniffer González-Colón,https://gonzalez-colon.house.gov,4,0,0.0
Jeb Hensarling,http://hensarling.house.gov,18,0,0.0
Gregg Harper,http://harper.house.gov,8,0,0.0
Duncan Hunter,https://hunter.house.gov,6,0,0.0
Andy Harris,http://harris.house.gov,4,0,0.0
Vicky Hartzler,https://hartzler.house.gov,3,0,0.0
Jaime Herrera Beutler,http://herrerabeutler.house.gov,9,0,0.0
Bill Huizenga,http://huizenga.house.gov,10,0,0.0
Randy Hultgren,http://hultgren.house.gov,11,0,0.0
George Holding,http://holding.house.gov,4,0,0.0
Richard Hudson,https://hudson.house.gov,44,1,44.0
Jody B. Hice,https://hice.house.gov,2,0,0.0
J. French Hill,https://hill.house.gov,10,0,0.0
Will Hurd,https://hurd.house.gov,11,0,0.0
Trey Hollingsworth,https://hollingsworth.house.gov,3,0,0.0
Clay Higgins,https://clayhiggins.house.gov,8,0,0.0
Darrell E. Issa,https://issa.house.gov,3,0,0.0
Sam Johnson,http://samjohnson.house.gov,6,0,0.0
Walter B. Jones,http://jones.house.gov,5,0,0.0
Jim Jordan,http://jordan.house.gov,8,2,4.0
Lynn Jenkins,https://lynnjenkins.house.gov,1,0,0.0
Bill Johnson,http://billjohnson.house.gov,5,1,5.0
David P. Joyce,https://joyce.house.gov,1,0,0.0
Evan H. Jenkins,https://evanjenkins.house.gov,8,2,4.0
Mike Johnson,https://mikejohnson.house.gov,7,1,7.0
Peter T. King,http://peteking.house.gov,8,5,1.6
Steve King,https://steveking.house.gov,10,0,0.0
Mike Kelly,http://kelly.house.gov,5,0,0.0
Adam Kinzinger,http://kinzinger.house.gov,10,0,0.0
John Katko,https://katko.house.gov,5,0,0.0
Stephen Knight,https://knight.house.gov,9,2,4.5
Trent Kelly,https://trentkelly.house.gov,3,0,0.0
David Kustoff,https://kustoff.house.gov,6,0,0.0
Frank D. Lucas,http://lucas.house.gov,6,1,6.0
Frank A. LoBiondo,http://lobiondo.house.gov,5,0,0.0
Doug Lamborn,http://lamborn.house.gov,9,2,4.5
Robert E. Latta,http://latta.house.gov,3,0,0.0
Leonard Lance,http://lance.house.gov,4,1,4.0
Blaine Luetkemeyer,http://luetkemeyer.house.gov,4,0,0.0
Raúl R. Labrador,https://labrador.house.gov,6,0,0.0
Billy Long,https://long.house.gov,1,0,0.0
Doug LaMalfa,http://lamalfa.house.gov,9,0,0.0
Barry Loudermilk,http://loudermilk.house.gov,7,0,0.0
Mia B. Love,https://love.house.gov,14,1,14.0
Darin LaHood,https://lahood.house.gov,7,0,0.0
Jason Lewis,https://jasonlewis.house.gov,7,0,0.0
Tim Murphy,https://murphy.house.gov,1,0,0.0
Patrick T. McHenry,http://mchenry.house.gov,12,0,0.0
Michael T. McCaul,http://mccaul.house.gov,9,0,0.0
Kenny Marchant,https://marchant.house.gov,17,0,0.0
Cathy McMorris Rodgers,http://mcmorris.house.gov,16,0,0.0
Kevin McCarthy,http://kevinmccarthy.house.gov,11,0,0.0
Tom McClintock,http://mcclintock.house.gov,12,1,12.0
Tom Marino,https://marino.house.gov,11,0,0.0
David B. McKinley,https://mckinley.house.gov,1,0,0.0
Patrick Meehan,https://meehan.house.gov,9,1,9.0
Thomas Massie,https://massie.house.gov,8,0,0.0
Mark Meadows,https://meadows.house.gov,4,1,4.0
Luke Messer,https://messer.house.gov,16,0,0.0
Markwayne Mullin,https://mullin.house.gov,2,0,0.0
Thomas MacArthur,https://macarthur.house.gov,26,0,0.0
John R. Moolenaar,https://moolenaar.house.gov,9,0,0.0
Alexander X. Mooney,https://mooney.house.gov,13,0,0.0
Martha McSally,https://mcsally.house.gov,7,0,0.0
Roger W. Marshall,https://marshall.house.gov,4,0,0.0
Brian J. Mast,https://mast.house.gov,8,0,0.0
Paul Mitchell,https://mitchell.house.gov,4,0,0.0
Devin Nunes,http://nunes.house.gov,8,3,2.6667
Kristi L. Noem,https://noem.house.gov,6,0,0.0
Dan Newhouse,https://newhouse.house.gov,6,0,0.0
Pete Olson,https://olson.house.gov,13,0,0.0
Stevan Pearce,http://pearce.house.gov,8,0,0.0
Ted Poe,https://poe.house.gov,4,0,0.0
Erik Paulsen,https://paulsen.house.gov,3,0,0.0
Bill Posey,http://posey.house.gov,4,0,0.0
Steven M. Palazzo,http://palazzo.house.gov,1,0,0.0
Scott Perry,http://perry.house.gov,13,0,0.0
Robert Pittenger,https://pittenger.house.gov,23,0,0.0
Gary J. Palmer,https://palmer.house.gov,9,0,0.0
Bruce Poliquin,https://poliquin.house.gov,7,0,0.0
Harold Rogers,http://halrogers.house.gov,6,0,0.0
Dana Rohrabacher,https://rohrabacher.house.gov,3,1,3.0
Ileana Ros-Lehtinen,http://ros-lehtinen.house.gov,7,1,7.0
Edward R. Royce,http://royce.house.gov,2,0,0.0
Paul D. Ryan,http://paulryan.house.gov,9,0,0.0
Mike Rogers,https://mikerogers.house.gov,5,4,1.25
David G. Reichert,http://reichert.house.gov,4,0,0.0
Peter J. Roskam,https://roskam.house.gov,5,1,5.0
David P. Roe,http://roe.house.gov,5,0,0.0
Thomas J. Rooney,https://rooney.house.gov,7,0,0.0
Tom Reed,https://reed.house.gov,25,0,0.0
James B. Renacci,https://renacci.house.gov,11,0,0.0
Martha Roby,http://roby.house.gov,1,0,0.0
Todd Rokita,http://rokita.house.gov,5,0,0.0
Dennis A. Ross,http://dennisross.house.gov,6,0,0.0
Tom Rice,http://rice.house.gov,18,0,0.0
Keith J. Rothfus,https://rothfus.house.gov,12,0,0.0
Aumua Amata Coleman Radewagen,https://radewagen.house.gov,4,0,0.0
John Ratcliffe,https://ratcliffe.house.gov,6,2,3.0
David Rouzer,https://rouzer.house.gov,6,0,0.0
Steve Russell,https://russell.house.gov,4,0,0.0
Francis Rooney,https://francisrooney.house.gov,12,0,0.0
John H. Rutherford,https://rutherford.house.gov,4,0,0.0
Mark Sanford,https://sanford.house.gov,8,2,4.0
"F. James Sensenbrenner, Jr.",http://sensenbrenner.house.gov,4,0,0.0
Pete Sessions,https://sessions.house.gov,15,12,1.25
John Shimkus,https://shimkus.house.gov,13,0,0.0
Christopher H. Smith,http://chrissmith.house.gov,5,1,5.0
Lamar Smith,http://lamarsmith.house.gov,9,0,0.0
Michael K. Simpson,http://simpson.house.gov,5,0,0.0
Bill Shuster,https://shuster.house.gov,1,0,0.0
Adrian Smith,http://adriansmith.house.gov,4,0,0.0
Steve Scalise,http://scalise.house.gov,6,0,0.0
David Schweikert,https://schweikert.house.gov,8,0,0.0
Steve Stivers,http://stivers.house.gov,5,0,0.0
Austin Scott,https://austinscott.house.gov,4,0,0.0
Chris Stewart,http://stewart.house.gov,14,0,0.0
Jason Smith,https://jasonsmith.house.gov,5,0,0.0
Elise M. Stefanik,https://stefanik.house.gov,8,0,0.0
Lloyd Smucker,https://smucker.house.gov,10,2,5.0
Mac Thornberry,http://thornberry.house.gov,7,0,0.0
Patrick J. Tiberi,http://tiberi.house.gov,11,0,0.0
Michael R. Turner,https://turner.house.gov,6,0,0.0
Glenn Thompson,http://thompson.house.gov,9,3,3.0
Scott R. Tipton,http://tipton.house.gov,4,0,0.0
David A. Trott,https://trott.house.gov,5,0,0.0
Scott Taylor,https://taylor.house.gov,3,0,0.0
Claudia Tenney,https://tenney.house.gov,4,0,0.0
Fred Upton,http://upton.house.gov,3,0,0.0
David G. Valadao,http://valadao.house.gov,10,0,0.0
Greg Walden,https://walden.house.gov,5,1,5.0
Joe Wilson,http://joewilson.house.gov,9,0,0.0
Tim Walberg,http://walberg.house.gov,3,0,0.0
Robert J. Wittman,http://wittman.house.gov,12,0,0.0
Daniel Webster,http://webster.house.gov,6,0,0.0
Steve Womack,http://womack.house.gov,7,2,3.5
Rob Woodall,https://woodall.house.gov,9,0,0.0
Ann Wagner,http://wagner.house.gov,11,0,0.0
Jackie Walorski,http://walorski.house.gov,3,0,0.0
"Randy K. Weber, Sr.",http://weber.house.gov,8,0,0.0
Brad R. Wenstrup,http://wenstrup.house.gov,10,2,5.0
Roger Williams,http://williams.house.gov,13,0,0.0
Mark Walker,https://walker.house.gov,10,0,0.0
Mimi Walters,https://walters.house.gov,12,0,0.0
Bruce Westerman,https://westerman.house.gov,8,0,0.0
Don Young,http://donyoung.house.gov,8,0,0.0
Kevin Yoder,http://yoder.house.gov,12,0,0.0
Ted S. Yoho,http://yoho.house.gov,14,0,0.0
David Young,https://davidyoung.house.gov,4,0,0.0
Lee M. Zeldin,https://zeldin.house.gov,11,1,11.0
